disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
Alagille syndrome;610205;liver disease;peripheral pulmonary artery stenosis;Pulmonary artery stenosis;NOTCH2, AGS2, HJCYS;600275;1p12-p11
Aland Island eye disease;300600;eye disease;hypoplasia of the fovea;Aplasia/Hypoplasia of the fovea;CACNA1F, CSNB2, CORDX3, CSNB2A, AIED, OA2;300110;Xp11.23
Albright's hereditary osteodystrophy;103580;pseudohypoparathyroidism;cognitive impairment;Abnormality of higher mental function;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C;139320;20q13.32
Alexander disease;203450;leukodystrophy;large face;Abnormal facial shape;GFAP;137780;17q21.31
Allan-Herndon-Dudley syndrome;300523;X-linked disease;type i diabetes mellitus;Diabetes mellitus;SLC16A2, DXS128, XPCT;300095;Xq13.2
Alpers syndrome;203700;cerebral degeneration;cortical visual impairment;Visual impairment;POLG, POLG1, POLGA, PEO, SANDO, SCAE, MTDPS4A, MTDPS4B, MIRAS;174763;15q26.1
Alport syndrome;104200;autosomal recessive disease;diffuse glomerular basement membrane lamellation;Abnormality of the glomerulus;COL4A3;120070;2q36.3
Alport syndrome;203780;autosomal recessive disease;corneal erosion;Abnormality of corneal epithelium;COL4A3;120070;2q36.3
Alport syndrome;203780;autosomal recessive disease;corneal erosion;Abnormality of corneal epithelium;COL4A4;120131;2q36.3
Alport syndrome;301050;autosomal recessive disease;corneal erosion;Abnormality of corneal epithelium;COL4A5, ATS, ASLN;303630;Xq22.3
Alstrom syndrome;203800;autosomal recessive disease;chronic active hepatitis;Chronic hepatitis;ALMS1, ALSS, KIAA0328;606844;2p13.1
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;A2M , A2MD;103950;12p13.31
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;ACE, DCP1, ACE1, MVCD3, ICH;106180;17q23.3
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;AD10;609636;7q36
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;AD5;602096;12p11.23-q13.12
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;AD6;605526;10q24
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;AD8;607116;20p
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;AD9;608907;19p13.2
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;APBB2, FE65L1;602710;4p14-p13
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;APP, AAA, CVAP, AD1;104760;21q21.3
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;BLMH, BMH;602403;17q11.2
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;HFE, HLA-H, HFE1, MVCD7, TFQTL2;613609;6p22.2
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;MPO;606989;17q22
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;NOS3;163729;7q36.1
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;PACIP1, PAXIP1L, PTIP;608254;7q36.2
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;PLAU, URK, QPD, BDPLT5;191840;10q22.2
Alzheimer's disease;104300;tauopathy;alzheimer disease;Morphological abnormality of the central nervous system;SORL1, LR11, SORLA;602005;11q24.1
Alzheimer's disease;104310;tauopathy;late onset;Adult onset;APOE, AD2, LPG, LDLCQ5;107741;19q13.32
Alzheimer's disease;606889;tauopathy;cerebral amyloid angiopathy;Amyloidosis;PSEN2, AD4, STM2, CMD1V;600759;1q42.13
Alzheimer's disease;607822;tauopathy;agnosia;Abnormality of higher mental function;PSEN1, AD3;104311;14q24.2
Andersen-Tawil syndrome;170390;long QT syndrome;small hand;Aplasia/hypoplasia involving bones of the hand;KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9;600681;17q24.3
Angelman syndrome;105830;chromosomal disease;limb tremor;Tremor by anatomical site;CDKL5, STK9, ISSX, EIEE2;300203;Xp22.13
Angelman syndrome;105830;chromosomal disease;limb tremor;Tremor by anatomical site;MECP2, RTT, PPMX, MRX16, MRX79, AUTSX3, MRXSL, MRXS13, MRX79, MRX16;300005;Xq28
Angelman syndrome;105830;chromosomal disease;limb tremor;Tremor by anatomical site;UBE3A, ANCR;601623;15q11.2
Antley-Bixler syndrome;201750;autosomal recessive disease;camptodactyly;Flexion contracture of digit;POR;124015;7q11.23
Antley-Bixler syndrome;207410;autosomal recessive disease;camptodactyly of finger;Flexion contracture of finger;FGFR2, BEK, CFD1, JWS, TK14, BBDS;176943;10q26.13
Arts syndrome;301835;X-linked disease;pancreatic fibrosis;Abnormality of pancreas morphology;PRPS1, CMTX5, DFNX1, DFN2;311850;Xq22.3
Asperger syndrome;300494;autism spectrum disorder;sporadic;Mode of inheritance;NLGN3, ASPGX1, AUTSX1;300336;Xq13.1
Asperger syndrome;300497;autism spectrum disorder;juvenile onset;Onset;NLGN4, KIAA1260, AUTSX2, ASPGX2;300427;Xp22.32-p22.31
Athabaskan brainstem dysgenesis syndrome;601536;autosomal recessive disease;abnormality of cerebral artery;Abnormality of the cerebral vasculature;HOXA1, HOX1F, BSAS;142955;7p15.2
Axenfeld-Rieger syndrome;180500;autosomal dominant disease;polycoria;Abnormality of the pupil;PITX2, IDG2, RIEG1, RGS, IGDS2;601542;4q25
Axenfeld-Rieger syndrome;602482;autosomal dominant disease;concave nasal ridge;Abnormality of the nasal dorsum;FOXC1, FKHL7, FREAC3, IRID1, RIEG3;601090;6p25.3
Baller-Gerold syndrome;218600;synostosis;urogenital fistula;Abnormality of the genitourinary system;RECQL4, RTS, RECQ4;603780;8q24.3
Bamforth-Lazarus syndrome;241850;hypothyroidism;cognitive impairment;Abnormality of higher mental function;FOXE1, FKHL15, TITF2, TTF2;602617;9q22.33
Bannayan-Riley-Ruvalcaba syndrome;153480;autosomal dominant disease;intestinal polyposis;Intestinal polyp;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
Baraitser-Winter syndrome;243310;syndrome;postnatal growth retardation;Growth delay;ACTB, BRWS1;102630;7p22.1
Baraitser-Winter syndrome;614583;syndrome;postnatal microcephaly;Microcephaly;ACTG1, DFNA20, DFNA26, BRWS2;102560;17q25.3
Bardet-Biedl syndrome;209900;autosomal recessive disease;nephrogenic diabetes insipidus;Diabetes insipidus;ARL6, BBS3, RP55;608845;3q11.2
Bardet-Biedl syndrome;209900;autosomal recessive disease;nephrogenic diabetes insipidus;Diabetes insipidus;BBS1;209901;11q13.2
Bardet-Biedl syndrome;209900;autosomal recessive disease;nephrogenic diabetes insipidus;Diabetes insipidus;CCDC28B, MGC1203;610162;1p35.1
Bardet-Biedl syndrome;209900;autosomal recessive disease;nephrogenic diabetes insipidus;Diabetes insipidus;TMEM67, MKS3, JBTS6, NPHP11;609884;8q22.1
Bart-Pumphrey syndrome;149200;autosomal dominant disease;abnormality of nail color;Abnormality of the nail;GJB2, CX26, DFNB1A, PPK, DFNA3A, KID, HID;121011;13q12.11
Barth syndrome;302060;lipid metabolism disorder;fatigue;Behavioral abnormality;TAZ, EFE2, BTHS, CMD3A, LVNCX;300394;Xq28
Bartter disease;241200;renal tubular transport disease;prominent forehead;Abnormality of the forehead;KCNJ1, ROMK1;600359;11q24.3
Bartter disease;601678;renal tubular transport disease;short stature;Growth delay;SLC12A1, NKCC2;600839;15q21.1
Bartter disease;602522;renal tubular transport disease;hypernatriuria;Abnormal urine sodium concentration;BSND;606412;1p32.3
Bartter disease;607364;renal tubular transport disease;abnormality of the retinal vasculature;Abnormality of the vasculature of the eye;CLCNKB;602023;1p36.13
Bartter disease;613090;renal tubular transport disease;hypernatriuria;Abnormal urine sodium concentration;CLCNKA;602024;1p36.13
Bartter disease;613090;renal tubular transport disease;hypernatriuria;Abnormal urine sodium concentration;CLCNKB;602023;1p36.13
Beare-Stevenson cutis gyrata syndrome;123790;autosomal dominant disease;visceral angiomatosis;Hemangiomatosis;FGFR2, BEK, CFD1, JWS, TK14, BBDS;176943;10q26.13
Becker muscular dystrophy;300376;muscular dystrophy;arrhythmia;Abnormality of cardiovascular system physiology;DMD, BMD, CMD3B;300377;Xp21.2-p21.1
Beckwith-Wiedemann syndrome;130650;syndrome;urogenital fistula;Abnormality of the genitourinary system;CDKN1C, KIP2, BWS, IMAGE;600856;11p15.4
Beckwith-Wiedemann syndrome;130650;syndrome;urogenital fistula;Abnormality of the genitourinary system;H19, D11S813E, ASM1, BWS, WT2;103280;11p15.5
Beckwith-Wiedemann syndrome;130650;syndrome;urogenital fistula;Abnormality of the genitourinary system;ICR1;616186;11p15.5
Beckwith-Wiedemann syndrome;130650;syndrome;urogenital fistula;Abnormality of the genitourinary system;KCNQ1OT1, LIT1;604115;11p15.5
Beckwith-Wiedemann syndrome;130650;syndrome;urogenital fistula;Abnormality of the genitourinary system;NSD1, ARA267, STO, SOTOS1;606681;5q35.2-q35.3
Bernard-Soulier syndrome;153670;blood platelet disease;increased mean platelet volume;Abnormal platelet volume;GP1BA, BSS, BDPLT1, VWDP, BDPLT3;606672;17p13.2
Bernard-Soulier syndrome;231200;blood platelet disease;increased mean platelet volume;Abnormal platelet volume;GP1BA, BSS, BDPLT1, VWDP, BDPLT3;606672;17p13.2
Bernard-Soulier syndrome;231200;blood platelet disease;increased mean platelet volume;Abnormal platelet volume;GP1BB, BS, BDPLT1;138720;22q11.21
Bernard-Soulier syndrome;231200;blood platelet disease;increased mean platelet volume;Abnormal platelet volume;GP9;173515;3q21.3
Bethlem myopathy;158810;congenital muscular dystrophy;camptodactyly of finger;Flexion contracture of finger;COL6A1;120220;21q22.3
Bethlem myopathy;158810;congenital muscular dystrophy;camptodactyly of finger;Flexion contracture of finger;COL6A2;120240;21q22.3
Bethlem myopathy;158810;congenital muscular dystrophy;camptodactyly of finger;Flexion contracture of finger;COL6A3;120250;2q37.3
Bietti crystalline corneoretinal dystrophy;210370;retinal degeneration;marginal corneal dystrophy;Corneal dystrophy;CYP4V2, BCD;608614;4q35.2
Birk-Barel syndrome;612292;autosomal dominant disease;submucous cleft soft palate;Cleft soft palate;KCNK9, TASK3;605874;8q24.3
Birt-Hogg-Dube syndrome;135150;autosomal dominant disease;neoplasm of the parathyroid gland;Neoplasm of the endocrine system;FLCN, BHD;607273;17p11.2
Bjornstad syndrome;262000;autosomal recessive disease;aplasia/hypoplasia of the eyebrow;Abnormality of the eyebrow;BCS1L, FLNMS, GRACILE, BJS, PTD, MC3DN1;603647;2q35
Blau syndrome;186580;autosomal dominant disease;skin ulcer;Localized skin lesion;NOD2, CARD15, IBD1, CD, ACUG, PSORAS1;605956;16q12.1
Bloch-Sulzberger syndrome;308300;pigmentation disease;verrucae;Papilloma;IKBKG, NEMO, FIP3, IP2, IPD2, AMCBX1, IMD33;300248;Xq28
Boomerang dysplasia;112310;osteochondrodysplasia;abnormal vertebral ossification;Abnormality of the vertebrae;FLNB, SCT, AOI, LRS1;603381;3p14.3
Borjeson-Forssman-Lehmann syndrome;301900;X-linked disease;cognitive impairment;Abnormality of higher mental function;PHF6, BFLS;300414;Xq26.2
Bothnia retinal dystrophy;607475;fundus dystrophy;night blindness;Abnormality of vision;RLBP1;180090;15q26.1
Bowen-Conradi syndrome;211180;autosomal recessive disease;cognitive impairment;Abnormality of higher mental function;EMG1, NEP1, C2F, BWCNS;611531;12p13.31
Brody myopathy;601003;neuromuscular disease;muscle cramps;Abnormality of muscle physiology;ATP2A1, SERCA1;108730;16p11.2
Brooke-Spiegler syndrome;605041;autosomal dominant disease;adult onset;Onset;CYLD, CDMT, EAC, MFT1, KIAA0849, BRSS;605018;16q12.1
Brown-Vialetto-Van Laere syndrome;211530;autosomal dominant disease;tongue atrophy;Abnormality of the tongue;SLC52A3, C20orf54, RFT2, BVVLS1;613350;20p13
Bruck syndrome;259450;syndrome;vertebral wedging;Abnormal form of the vertebral bodies;FKBP10, FKBP65, OI11, BRKS1;607063;17q21.2
Bruck syndrome;609220;syndrome;knee flexion contracture;Contractures of the joints of the lower limbs;PLOD2, LH2, TLH, BRKS2;601865;3q24
Brugada syndrome;601144;heart conduction disease;sudden death;Time of death;SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2;600163;3p22.2
Brugada syndrome;611777;heart conduction disease;prolonged pr interval;Abnormal EKG;GPD1L, KIAA0089;611778;3p22.3
Brugada syndrome;611875;heart conduction disease;j wave;Abnormal EKG;CACNA1C, CACNL1A1, CCHL1A1, TS;114205;12p13.33
Brugada syndrome;611876;heart conduction disease;shortened qt interval;Abnormal EKG;CACNB2;600003;10p12.33-p12.31
Brugada syndrome;612838;heart conduction disease;st segment elevation;Abnormal ST segment;SCN1B, GEFSP1, BRGDA5, ATFB13;600235;19q13.12
Brugada syndrome;613119;heart conduction disease;st segment elevation;Abnormal ST segment;KCNE3, HOKPP, HYPP;604433;11q13.4
Brugada syndrome;613120;heart conduction disease;st segment elevation;Abnormal ST segment;DSC3, DSC4;600271;18q12.1
Brugada syndrome;613120;heart conduction disease;st segment elevation;Abnormal ST segment;SCN3B, SCNB3, BRGDA7, ATFB16;608214;11q24.1
Brugada syndrome;613123;heart conduction disease;st segment elevation;Abnormal ST segment;HCN4, SSS2;605206;15q24.1
Bruton-type agammaglobulinemia;300755;agammaglobulinemia;agammaglobulinemia;Abnormal immunoglobulin level;BTK, AGMX1, IMD1, XLA, AT;300300;Xq22.1
Burkitt lymphoma;113970;mature B-cell neoplasm;burkitt lymphoma;Non-Hodgkin lymphoma;MYC;190080;8q24.21
CHARGE syndrome;214800;syndrome;down-sloping shoulders;Abnormality of the shoulder;CHD7, IS3, HH5;608892;8q12.1-q12.2
CHARGE syndrome;214800;syndrome;down-sloping shoulders;Abnormality of the shoulder;SEMA3E, SEMAH, KIAA0331;608166;7q21.11
CLONE OF congenital afibrinogenemia;202400;;splenic rupture;Abnormality of the spleen;FGA;134820;4q31.3
CLONE OF congenital afibrinogenemia;202400;;splenic rupture;Abnormality of the spleen;FGB;134830;4q31.3
CLONE OF congenital afibrinogenemia;202400;;splenic rupture;Abnormality of the spleen;FGG;134850;4q31.3
Caffey disease;114000;bone inflammation disease;cellulitis;Abnormality of connective tissue;COL1A1;120150;17q21.33
Camurati-Engelmann disease;131300;osteosclerosis;hyperostosis;Abnormality of skeletal morphology;TGFB1, DPD1, CED;190180;19q13.2
Canavan disease;271900;leukodystrophy;cognitive impairment;Abnormality of higher mental function;ASPA;608034;17p13.2
Carney complex;160980;autosomal dominant disease;schwannoma;Neoplasm of the peripheral nervous system;PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1;188830;17q24.2
Carney complex;608837;autosomal dominant disease;cardiac myxoma;Neoplasm of the heart;MYH8;160741;17p13.1
Carpenter syndrome;201000;acrocephalosyndactylia;camptodactyly;Flexion contracture of digit;RAB23;606144;6p11.2
Carpenter syndrome;614976;acrocephalosyndactylia;postaxial polydactyly;Polydactyly;MEGF8, EGFL4, CRPT2;604267;19q13.2
Charcot-Marie-Tooth disease intermediate type;606482;Charcot-Marie-Tooth disease;axonal degeneration;Peripheral axonal degeneration;DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5;602378;19p13.2
Charcot-Marie-Tooth disease intermediate type;607791;Charcot-Marie-Tooth disease;distal amyotrophy;Skeletal muscle atrophy;MPZ, CMT1B, CMTDID, CHM, DSS;159440;1q23.3
Charcot-Marie-Tooth disease intermediate type;608323;Charcot-Marie-Tooth disease;distal amyotrophy;Skeletal muscle atrophy;YARS, CMTDIC, TYRRS, YTS, YRS;603623;1p35.1
Charcot-Marie-Tooth disease intermediate type;608340;Charcot-Marie-Tooth disease;childhood onset;Onset;GDAP1, CMT4A, CMT2K, CMTRIA;606598;8q21.11
Charcot-Marie-Tooth disease intermediate type;613641;Charcot-Marie-Tooth disease;vestibular schwannoma;Schwannoma;KARS, CMTRIB, DFNB89;601421;16q23.1
Charcot-Marie-Tooth disease intermediate type;614455;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;INF2, FSGS5, C14orf173, CMTDIE;610982;14q32.33
Charcot-Marie-Tooth disease intermediate type;615185;Charcot-Marie-Tooth disease;slow progression;Pace of progression;GNB4, CMTD1F;610863;3q26.33
Charcot-Marie-Tooth disease intermediate type;615376;Charcot-Marie-Tooth disease;mildly elevated creatine phosphokinase;Elevated serum creatine phosphokinase;PLEKHG5, KIAA0720, DSMA4, CMTRIC;611101;1p36.31
Charcot-Marie-Tooth disease type 1;118200;Charcot-Marie-Tooth disease;tonic pupil;Abnormal pupillary function;MPZ, CMT1B, CMTDID, CHM, DSS;159440;1q23.3
Charcot-Marie-Tooth disease type 1;118220;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;PMP22, CMT1A, CMT1E, DSS;601097;17p12
Charcot-Marie-Tooth disease type 1;118300;Charcot-Marie-Tooth disease;childhood onset;Onset;PMP22, CMT1A, CMT1E, DSS;601097;17p12
Charcot-Marie-Tooth disease type 1;601098;Charcot-Marie-Tooth disease;distal amyotrophy;Skeletal muscle atrophy;LITAF, CMT1C;603795;16p13.13
Charcot-Marie-Tooth disease type 1;607678;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;EGR2, KROX20;129010;10q21.3
Charcot-Marie-Tooth disease type 1;607734;Charcot-Marie-Tooth disease;clusters of axonal regeneration;Axonal regeneration;NEFL, CMT2E, CMT1F;162280;8p21.2
Charcot-Marie-Tooth disease type 2;118210;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;KIF1B, CMT2A, CMT2A1, NBLST1;605995;1p36.22
Charcot-Marie-Tooth disease type 2;600882;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;RAB7, CMT2B, PSN;602298;3q21.3
Charcot-Marie-Tooth disease type 2;601472;Charcot-Marie-Tooth disease;upper limb amyotrophy;Skeletal muscle atrophy;GARS, SMAD1, CMT2D, HMN5;600287;7p14.3
Charcot-Marie-Tooth disease type 2;605588;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B;150330;1q22
Charcot-Marie-Tooth disease type 2;605589;Charcot-Marie-Tooth disease;distal amyotrophy;Skeletal muscle atrophy;MED25, PTOV2, ARC92, CMT2B2;610197;19q13.33
Charcot-Marie-Tooth disease type 2;606071;Charcot-Marie-Tooth disease;down-sloping shoulders;Abnormality of the shoulder;TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL;605427;12q24.11
Charcot-Marie-Tooth disease type 2;606595;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;HSPB1, HSP27, CMT2F, HMN2B;602195;7q11.23
Charcot-Marie-Tooth disease type 2;607677;Charcot-Marie-Tooth disease;distal amyotrophy;Skeletal muscle atrophy;MPZ, CMT1B, CMTDID, CHM, DSS;159440;1q23.3
Charcot-Marie-Tooth disease type 2;607684;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;NEFL, CMT2E, CMT1F;162280;8p21.2
Charcot-Marie-Tooth disease type 2;607736;Charcot-Marie-Tooth disease;peripheral demyelination;Abnormal peripheral myelination;MPZ, CMT1B, CMTDID, CHM, DSS;159440;1q23.3
Charcot-Marie-Tooth disease type 2;607831;Charcot-Marie-Tooth disease;proximal muscle weakness;Muscle weakness;GDAP1, CMT4A, CMT2K, CMTRIA;606598;8q21.11
Charcot-Marie-Tooth disease type 2;608673;Charcot-Marie-Tooth disease;decreased amplitude of sensory action potentials;Abnormal peripheral action potential amplitude;HSPB8, H11, E2IG1, DHMN2, CMT2L, HMN2A;608014;12q24.23
Charcot-Marie-Tooth disease type 2;609260;Charcot-Marie-Tooth disease;pain;Abnormality of nervous system physiology;MFN2, KIAA0214, CMT2A2;608507;1p36.22
Charcot-Marie-Tooth disease type 2;613287;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;AARS, CMT2N;601065;16q22.1
Charcot-Marie-Tooth disease type 2;614228;Charcot-Marie-Tooth disease;difficulty running;Functional motor problems.;DYNC1H1, DNCL, DNECL, CMT20, MRD13, SMALED1;600112;14q32.31
Charcot-Marie-Tooth disease type 2;614436;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;LRSAM1, TAL, RIFLE, CMT2P;610933;9q33.3
Charcot-Marie-Tooth disease type 2;615025;Charcot-Marie-Tooth disease;skeletal muscle atrophy;Abnormality of muscle size;DHTKD1, KIAA1630, AMOXAD, CMT2Q;614984;10p14
Charcot-Marie-Tooth disease type 2;615490;Charcot-Marie-Tooth disease;peripheral axonal neuropathy;Peripheral neuropathy;TRIM2, KIAA0517, CMT2R;614141;4q31.3
Charcot-Marie-Tooth disease type 3;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;EGR2, KROX20;129010;10q21.3
Charcot-Marie-Tooth disease type 3;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;MPZ, CMT1B, CMTDID, CHM, DSS;159440;1q23.3
Charcot-Marie-Tooth disease type 3;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;PMP22, CMT1A, CMT1E, DSS;601097;17p12
Charcot-Marie-Tooth disease type 3;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;PRX, CMT4F;605725;19q13.2
